model,checkpoint,dataset,compression_ratio,compression_std,chunks_processed,eval_time_minutes,timestamp
pythia-70m,step1000,enwik8,0.2225062050200147,0.0404938053827582,2048,1.1985026081403096,1751877763.4279122
pythia-70m,step1000,imagenet,0.6012871521226942,0.09189195035932686,2048,1.854698610305786,1751877874.7109613
pythia-70m,step1000,librispeech,0.6945397666280869,0.04179166514838067,2048,1.8728578488032024,1751877987.0839403
pythia-70m,step8000,enwik8,0.17617424076806865,0.03515745134988375,2048,1.2994617501894632,1751878065.8077261
pythia-70m,step8000,imagenet,0.49890651222615334,0.10960611215659948,2043,1.9536036411921183,1751878183.0250711
pythia-70m,step8000,librispeech,0.46026195447302515,0.11428239802359615,2048,1.9661459803581238,1751878301.0042667
pythia-70m,step32000,enwik8,0.16962482087607225,0.03334722445377585,2048,1.3055498520533244,1751878380.0909755
pythia-70m,step32000,imagenet,0.49235075881950524,0.10358088927948408,2045,1.9630149483680726,1751878497.8729484
pythia-70m,step32000,librispeech,0.43910303883864893,0.10331785818007193,2048,1.9812026500701905,1751878616.7461667
pythia-70m,step128000,enwik8,0.17253574795711424,0.03467043085156037,2048,1.3252668658892313,1751878697.0915256
pythia-70m,step128000,imagenet,0.5047335004072547,0.10588557419575378,2031,1.983383878072103,1751878816.0968797
pythia-70m,step128000,librispeech,0.47458834398452043,0.1175396430832421,2048,1.9928207357724508,1751878935.6671782
pythia-70m,step143000,enwik8,0.17495391644262626,0.03530707205925731,2048,1.329115378856659,1751879016.1791942
pythia-70m,step143000,imagenet,0.5132798431414615,0.10690484828601829,2032,1.9804229776064555,1751879135.0056455
pythia-70m,step143000,librispeech,0.46562166266280924,0.12428387765970543,2048,1.9931422233581544,1751879254.5952828
pythia-160m,step1000,enwik8,0.21763228164427573,0.04065061656932736,2048,1.4704416910807292,1751879345.674985
pythia-160m,step1000,imagenet,0.6145714139316028,0.08874364058476387,2048,2.1426546891530354,1751879474.2353365
pythia-160m,step1000,librispeech,0.6778850055578146,0.02769979919312967,2048,2.15666827360789,1751879603.6365328
pythia-160m,step8000,enwik8,0.15858861042125189,0.03239875563909584,2048,1.6951224088668824,1751879706.1275396
pythia-160m,step8000,imagenet,0.4826909683953384,0.10814711020218375,2048,2.3381019671758017,1751879846.4147894
pythia-160m,step8000,librispeech,0.44022094636312614,0.11535105468050097,2048,2.348288067181905,1751879987.3147943
pythia-160m,step32000,enwik8,0.14915654058582029,0.030119007270588624,2048,1.714512252807617,1751880091.000119
pythia-160m,step32000,imagenet,0.4714102026849596,0.10880278158500545,2044,2.35561736424764,1751880232.338339
pythia-160m,step32000,librispeech,0.4300012450482448,0.10944392033538879,2048,2.3729318221410116,1751880374.7154012
pythia-160m,step128000,enwik8,0.1489378928903196,0.030881450750053326,2048,1.7351076483726502,1751880479.6529129
pythia-160m,step128000,imagenet,0.48186135473650443,0.10688698074038643,2032,2.3942979335784913,1751880623.3133557
pythia-160m,step128000,librispeech,0.43295205935971776,0.119703718957329,2048,2.4122152805328367,1751880768.0473456
pythia-160m,step143000,enwik8,0.15015021682422935,0.03200795360329043,2048,1.7300381580988566,1751880872.6427593
pythia-160m,step143000,imagenet,0.49185017028128036,0.10930893449903889,2045,2.3737762848536175,1751881015.0704513
pythia-160m,step143000,librispeech,0.4555168414230981,0.11905667676732687,2048,2.392447364330292,1751881158.6183395
pythia-410m,step1000,enwik8,0.22335127005907224,0.04108952259876936,2048,1.995323077837626,1751881281.7919936
pythia-410m,step1000,imagenet,0.667546977171935,0.09500931163901914,2048,2.668039866288503,1751881441.8757656
pythia-410m,step1000,librispeech,0.7704681007927303,0.0709361172863035,2048,2.682419482866923,1751881602.8220544
pythia-410m,step8000,enwik8,0.14829707405874334,0.031765423602077694,2048,2.4444862445195517,1751881750.5457985
pythia-410m,step8000,imagenet,0.5059724008202582,0.10551882702166732,2048,3.059940286477407,1751881934.1433713
pythia-410m,step8000,librispeech,0.5053198576359988,0.1156660533916955,2048,3.0728187203407287,1751882118.5149832
pythia-410m,step32000,enwik8,0.1357223104816537,0.028231301594773967,2048,2.4875595728556315,1751882268.8119378
pythia-410m,step32000,imagenet,0.46076837673878857,0.10637528544781585,2045,3.1144133885701497,1751882455.677872
pythia-410m,step32000,librispeech,0.404176070354096,0.11188497124047012,2048,3.1470492839813233,1751882644.5019765
pythia-410m,step128000,enwik8,0.12865699137823638,0.027269223870063357,2048,2.4996780594189962,1751882795.4652765
pythia-410m,step128000,imagenet,0.44359454028085754,0.10835761539242834,2045,3.112412218252818,1751882982.212635
pythia-410m,step128000,librispeech,0.38253483255118825,0.11103636805273466,2048,3.1306879838307697,1751883170.0550563
pythia-410m,step143000,enwik8,0.12839148742794182,0.02730001862786192,2048,2.4813749472300213,1751883320.024934
pythia-410m,step143000,imagenet,0.44709732807462044,0.10859157996702606,2045,3.101009178161621,1751883506.0866356
pythia-410m,step143000,librispeech,0.39142261114776833,0.11102656655286239,2048,3.1270190596580507,1751883693.7089272
pythia-1b,step1000,enwik8,0.20662146434276182,0.03852328195688287,2048,1.6491577704747518,1751883796.479791
pythia-1b,step1000,imagenet,0.600507332172176,0.0874811966178353,2048,2.323719882965088,1751883935.9040878
pythia-1b,step1000,librispeech,0.6773339940935262,0.029784039792461588,2048,2.342524607976278,1751884076.4567058
pythia-1b,step8000,enwik8,0.14015236613901738,0.029231805287101464,2048,1.9865078926086426,1751884197.1062264
pythia-1b,step8000,imagenet,0.469539930523311,0.10181461730469182,2047,2.6348130186398824,1751884355.1961634
pythia-1b,step8000,librispeech,0.4244936108814844,0.10810454345863893,2048,2.6423766652743024,1751884513.7414608
pythia-1b,step32000,enwik8,0.1280546882866797,0.02688560064100604,2048,1.9972997347513834,1751884634.7878187
pythia-1b,step32000,imagenet,0.4556530703533043,0.10052404354208405,2045,2.6433381120363872,1751884793.389235
pythia-1b,step32000,librispeech,0.4443310133492133,0.08473887985598576,2048,2.679025181134542,1751884954.1318023
pythia-1b,step128000,enwik8,0.11986129583692068,0.02566728443572662,2048,1.995635704199473,1751885075.0878491
pythia-1b,step128000,imagenet,0.43567278006283194,0.10703098178126408,2045,2.654582214355469,1751885234.3655603
pythia-1b,step128000,librispeech,0.37581887625835586,0.1094534919127785,2048,2.6787150700887046,1751885395.0896027
pythia-1b,step143000,enwik8,0.11964559070197639,0.025722223098558834,2048,1.9800583124160767,1751885515.1322744
pythia-1b,step143000,imagenet,0.4401031470765215,0.10522496604550442,2045,2.624160059293111,1751885672.5830333
pythia-1b,step143000,librispeech,0.38424741850341265,0.10962427145199659,2048,2.644178243478139,1751885831.2348726
pythia-1.4b,step1000,enwik8,0.2065612774146629,0.039217135312446215,2048,1.9928734064102174,1751885955.1788032
pythia-1.4b,step1000,imagenet,0.6427648261127722,0.08984641296728937,2048,2.6779204845428466,1751886115.8551977
pythia-1.4b,step1000,librispeech,0.7515515814554456,0.05153230294275276,2048,2.70220205783844,1751886277.9884765
pythia-1.4b,step8000,enwik8,0.13733190126900355,0.028925036635418573,2048,2.511715809504191,1751886430.175801
pythia-1.4b,step8000,imagenet,0.48217856186529207,0.11094043517715858,2048,3.0931121548016867,1751886615.7636528
pythia-1.4b,step8000,librispeech,0.4687864452087745,0.11054200899477515,2048,3.107550923029582,1751886802.2194033
pythia-1.4b,step32000,enwik8,0.12371984824480779,0.026666875948996516,2048,2.539804132779439,1751886956.1818554
pythia-1.4b,step32000,imagenet,0.470328681812545,0.10320839843386483,2045,3.1526933113733926,1751887145.3446972
pythia-1.4b,step32000,librispeech,0.44253321987770455,0.1127780692662284,2048,3.1683104991912843,1751887335.444747
pythia-1.4b,step128000,enwik8,0.11496870898137165,0.02478365120885609,2048,2.5183412551879885,1751887488.386743
pythia-1.4b,step128000,imagenet,0.43370779470388826,0.10899911577163886,2045,3.1304803013801576,1751887676.2181768
pythia-1.4b,step128000,librispeech,0.3780343447393278,0.10948941969380283,2048,3.1466639399528504,1751887865.0191247
pythia-1.4b,step143000,enwik8,0.11473756446456547,0.024894381500950823,2048,2.5313868244489033,1751888018.4884458
pythia-1.4b,step143000,imagenet,0.43589252905934056,0.10795180270947548,2045,3.1640231291453045,1751888208.3309932
pythia-1.4b,step143000,librispeech,0.38509810726149774,0.10591950916528542,2048,3.1772345741589865,1751888398.9661534
